codec,geom,file_size,run,write_ms,read_ms,verify,mode,layout,cpu,shard_size,simd_mode
codec,geometry,size_bytes,run,write_ms,read_ms,verify,mode,layout,arch,cpu,kernel,simd,simd
stripe,10+0,65536,1,78,81,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,65536,1,61,58,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,4+2,65536,1,62,57,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,4+2,65536,1,59,132,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
rs,8+2,65536,1,55,69,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,8+2,65536,1,60,61,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,8+2,65536,1,73,410,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
plain,1+0,65536,2,76,69,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
stripe,10+0,65536,2,71,79,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,65536,2,79,58,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,4+2,65536,2,60,90,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,4+2,65536,2,60,129,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
rs,8+2,65536,2,54,67,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,8+2,65536,2,67,55,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,8+2,65536,2,71,422,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
plain,1+0,65536,3,42,54,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
stripe,10+0,65536,3,83,79,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,65536,3,62,58,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,4+2,65536,3,53,60,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,4+2,65536,3,63,129,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
rs,8+2,65536,3,53,66,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,8+2,65536,3,68,67,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,8+2,65536,3,72,402,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
plain,1+0,65536,4,51,48,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
stripe,10+0,65536,4,82,82,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,65536,4,57,53,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,4+2,65536,4,53,62,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,4+2,65536,4,63,128,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
rs,8+2,65536,4,52,58,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,8+2,65536,4,58,67,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,8+2,65536,4,73,428,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
plain,1+0,65536,5,44,54,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
stripe,10+0,65536,5,74,75,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,65536,5,60,58,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,4+2,65536,5,61,56,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,4+2,65536,5,53,135,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
rs,8+2,65536,5,53,67,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,8+2,65536,5,61,75,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,8+2,65536,5,66,416,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
plain,1+0,262144,1,106,120,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
stripe,10+0,262144,1,156,154,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,262144,1,96,82,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,4+2,262144,1,95,85,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,4+2,262144,1,95,360,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
rs,8+2,262144,1,67,84,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,8+2,262144,1,83,87,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,8+2,262144,1,93,814,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
plain,1+0,262144,2,115,99,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
stripe,10+0,262144,2,154,156,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,262144,2,94,96,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,4+2,262144,2,95,91,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,4+2,262144,2,98,376,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
rs,8+2,262144,2,87,69,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,8+2,262144,2,93,105,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,8+2,262144,2,92,786,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
plain,1+0,262144,3,105,117,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
stripe,10+0,262144,3,161,159,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,262144,3,98,86,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,4+2,262144,3,96,91,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,4+2,262144,3,96,362,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
rs,8+2,262144,3,72,91,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,8+2,262144,3,77,93,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,8+2,262144,3,83,782,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
plain,1+0,262144,4,110,116,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
stripe,10+0,262144,4,157,175,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,262144,4,90,84,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,4+2,262144,4,95,92,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,4+2,262144,4,122,371,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
rs,8+2,262144,4,73,78,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,8+2,262144,4,71,77,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,8+2,262144,4,93,795,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
plain,1+0,262144,5,112,122,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
stripe,10+0,262144,5,162,163,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,262144,5,89,92,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,4+2,262144,5,94,92,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,4+2,262144,5,92,390,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
rs,8+2,262144,5,74,82,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,8+2,262144,5,88,85,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,8+2,262144,5,95,785,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
plain,1+0,1048576,1,355,375,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
stripe,10+0,1048576,1,427,421,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,1048576,1,210,193,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,4+2,1048576,1,223,202,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,4+2,1048576,1,229,1288,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
rs,8+2,1048576,1,183,175,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,8+2,1048576,1,187,180,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,8+2,1048576,1,211,3025,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
plain,1+0,1048576,2,355,367,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
stripe,10+0,1048576,2,423,434,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,1048576,2,223,191,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,4+2,1048576,2,216,209,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,4+2,1048576,2,230,1347,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
rs,8+2,1048576,2,199,172,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,8+2,1048576,2,194,176,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,8+2,1048576,2,199,3041,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
plain,1+0,1048576,3,349,383,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
stripe,10+0,1048576,3,419,417,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,1048576,3,219,177,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,4+2,1048576,3,204,194,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,4+2,1048576,3,237,1302,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
rs,8+2,1048576,3,194,158,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,8+2,1048576,3,190,165,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,8+2,1048576,3,206,3025,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
plain,1+0,1048576,4,365,373,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
stripe,10+0,1048576,4,417,424,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,1048576,4,219,186,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,4+2,1048576,4,217,202,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,4+2,1048576,4,230,1343,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
rs,8+2,1048576,4,185,162,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,8+2,1048576,4,192,170,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,8+2,1048576,4,212,2857,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
plain,1+0,1048576,5,365,364,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
stripe,10+0,1048576,5,426,412,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,1048576,5,225,185,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,4+2,1048576,5,220,196,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,4+2,1048576,5,229,1375,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
rs,8+2,1048576,5,191,179,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,8+2,1048576,5,171,170,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,8+2,1048576,5,223,3037,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
plain,1+0,4194304,1,1357,1371,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
stripe,10+0,4194304,1,1646,1609,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,4194304,1,798,669,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,4+2,4194304,1,754,674,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,4+2,4194304,1,793,5193,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
rs,8+2,4194304,1,680,550,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,8+2,4194304,1,629,590,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,8+2,4194304,1,700,12019,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
plain,1+0,4194304,2,1391,1340,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
stripe,10+0,4194304,2,1617,1576,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,4194304,2,780,655,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,4+2,4194304,2,744,673,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,4+2,4194304,2,803,5176,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
rs,8+2,4194304,2,669,546,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,8+2,4194304,2,625,571,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,8+2,4194304,2,710,11961,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
plain,1+0,4194304,3,1380,1345,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
stripe,10+0,4194304,3,1546,1530,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,4194304,3,818,639,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,4+2,4194304,3,749,654,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,4+2,4194304,3,752,5232,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
rs,8+2,4194304,3,653,535,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,8+2,4194304,3,620,528,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,8+2,4194304,3,692,12268,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
plain,1+0,4194304,4,1392,1397,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
stripe,10+0,4194304,4,1534,1504,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,4194304,4,771,641,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,4+2,4194304,4,763,643,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,4+2,4194304,4,759,5450,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
rs,8+2,4194304,4,632,535,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,8+2,4194304,4,630,571,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,8+2,4194304,4,728,12643,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
plain,1+0,4194304,5,1323,1378,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
stripe,10+0,4194304,5,1209,1076,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,4194304,5,646,651,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,4+2,4194304,5,775,673,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,4+2,4194304,5,685,5291,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
rs,8+2,4194304,5,642,539,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,8+2,4194304,5,618,558,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,8+2,4194304,5,697,12476,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
plain,1+0,16777216,1,5449,5365,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
stripe,10+0,16777216,1,6052,5987,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,16777216,1,2929,2401,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,4+2,16777216,1,2581,2567,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,4+2,16777216,1,2677,20444,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
rs,8+2,16777216,1,2503,1992,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,8+2,16777216,1,1850,1649,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,8+2,16777216,1,2455,50912,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
plain,1+0,16777216,2,5371,5438,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
stripe,10+0,16777216,2,5027,5882,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,16777216,2,2881,2387,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,4+2,16777216,2,2767,2430,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,4+2,16777216,2,2771,20445,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
rs,8+2,16777216,2,2464,2096,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,8+2,16777216,2,2218,1681,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,8+2,16777216,2,2047,47418,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
plain,1+0,16777216,3,4682,4971,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
stripe,10+0,16777216,3,6072,5973,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,16777216,3,2917,2368,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,4+2,16777216,3,2743,2440,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,4+2,16777216,3,2900,20681,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
rs,8+2,16777216,3,2507,1966,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,8+2,16777216,3,2204,2131,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-nonsys,8+2,16777216,3,2553,47091,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
plain,1+0,16777216,4,5321,5301,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
stripe,10+0,16777216,4,6013,5877,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,16777216,4,2915,2344,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
mojette-sys,4+2,16777216,4,2732,2440,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,16384,simd
